,First word,Second word,Third word,Faculty,Admission probability,Relatives graduated this faculty,Plans to work in this field,Preparation for admission,Math,Russian language,Social science,Foreign language,History,Probability of other faculties admission,Pay for university possibility,Student loan,Age,Sex,Financial situation of the family,Number of foreign languages,First foreign language,Second foreign language,Third foreign language,Fourth foreign language,Family social class
231,интересный, теплый, фундаментальный,Филологический факультет,4,no,2.0,2,52,76,63,57,59,7,1.0,2,18,1,7,3,английский,испанский,армянский,,3
232,перспективный,хороший,доступный,Филологический факультет,4,no,2.0,1,66,98,75,70,57,5,2.0,2,17,2,5,1,английский,,,,3
233,интеллигентный, литературный,,Филологический факультет,8,no,1.0,1,79,95,88,55,55,8,2.0,2,18,1,7,1,английский,,,,3
234,дорогой, большой, новый,Экономический факультет,8,no,1.0,7,77,80,85,87,53,7,2.0,2,16,1,7,2,английский,немецский,,,7
235,уютный,родной,современный,Экономический факультет,7,no,2.0,1,81,90,78,95,51,7,1.0,2,17,1,7,1,английский,,,,7
236,интересный, приятный, познавательный,Социологический факультет,4,no,2.0,1,56,66,62,48,49,3,1.0,1,18,1,7,2,английский,итальянский,,,7
237,международный, перспективный, яркий,Факультет мировой политики,8,no,1.0,7,43,44,45,46,47,7,2.0,1,19,1,5,1,английский,,,,3
238,родной,дружелюбный,учебный,Экономический факультет,9,no,1.0,1,90,84,55,88,45,8,1.0,3,17,1,5,1,английский,,,,2
239,фантастический, познавательный, полезный,Юридический факультет,8,yes,2.0,1,73,87,55,55,55,7,1.0,3,18,2,5,1,английский,,,,3
240,сложно, интересно,перспективно,Экономический факультет,8,no,2.0,1,49,90,55,87,85,5,1.0,2,18,1,3,2,английский,немецкий,,,3
242,интересный, сложный, языковой,Факультет глобальных процессов,7,no,2.0,1,70,92,83,85,86,8,3.0,2,17,2,5,1,английский,,,,3
243,раздолбаи,заумный,интересный,Филологический факультет,8,no,1.0,"3, 5",70,100,90,92,98,8,2.0,2,16,1,3,2,английский,немецкий,,,3
244,выгодный, подходящий, интересный,Экономический факультет,8,no,2.0,1,87,77,71,65,66,7,2.0,2,17,2,5,2,английский,немецкий,,,3
245,свежий, качественный, традиционный,Юридический факультет,6,no,2.0,1,52,56,65,52,56,6,1.0,2,17,2,7,2,английский,греческий,,,7
246,знаменитый, красивый, светлый,Высшая школа государственного аудита факультет,8,no,5.0,3,48,84,56,77,60,6,1.0,2,17,1,5,1,английский,,,,3
247,перспективный,уважающий,сложный,Экономический факультет,7,no,4.0,1,70,92,55,85,71,7,1.0,3,17,2,5,2,английский,немецкий,,,3
248,необычный, сложный, научный,Филологический факультет,5,no,2.0,4,35,49,60,65,50,6,1.0,3,17,1,6,2,немецкий,,,,2
250,интересный, перспективный, трудный,Юридический факультет,10,no,4.0,4,65,87,68,65,56,7,1.0,3,18,2,5,1,английский,,,,3
251,интересный, чарующий,  красивый,Социологический факультет,6,no,2.0,1,56,87,90,40,98,4,3.0,3,17,2,6,1,английский,,,,3
252,престижный,дает хорошие знания, хорошее преподавание,Юридический факультет,4,no,2.0,7,40,87,65,65,56,5,2.0,3,17,2,7,1,английский,,,,1
253,математический, учебный, стеклянный,Экономический факультет,10,no,2.0,"1, 5",77,100,56,90,66,10,2.0,2,17,2,7,1,английский,,,,7
254,новый, неприступный, светлокоричневый,Экономический факультет,7,no,2.0,5,60,72,65,84,54,7,2.0,2,17,1,4,1,английский,,,,3
255,общественно полезный,актуальный, развивающий,Социологический факультет,5,no,2.0,1,64,92,65,78,56,6,2.0,2,18,2,4,1,английский,,,,3
256,серьезный, сложный, интересный,Филологический факультет,6,yes,2.0,1,80,85,66,85,56,6,3.0,2,18,2,5,1,английский,,,,3
257,хороший,познавательный,нужный,Экономический факультет,7,yes,2.0,"1, 4",58,70,75,66,50,6,1.0,2,17,2,5,1,английский,,,,2
258,привлекательный,уютный,квалифицированный,Биологический факультет,7,no,2.0,"2, 5",92,100,88,84,85,7,3.0,2,17,2,5,2,английский,немецкий,,,3
259,привлекательный, математический, логичный,Механико–математический факультет,8,yes,2.0,"1, 2",69,84,95,56,71,6,2.0,2,17,2,4,2,английский,немецкий,,,3
260,интересный, замечательный, престижный,Филологический факультет,8,yes,2.0,1,56,82,98,85,86,8,1.0,2,18,2,5,2,английский,французский,,,3
261,интересный, развивающий, сложный,Филологический факультет,5,no,1.0,1,66,98,100,90,100,5,2.0,2,17,2,5,1,английский,,,,3
262,английский, дорого, интересно,Факультет иностранных языков и регионоведения,7,no,2.0,5,63,100,88,85,98,8,2.0,2,18,2,6,1,английский,,,,3
